   
lumi event photon_et photon_ph
1101473 502491657 1.359375 1.9760742
199705 91105592 -1.220703 1.5671386
898153 409737488 -1.404541 -2.448242
1097482 500671146 0.2554931 1.4006347
305711 139465275 -0.452087 -1.443115
408146 186196393 -1.257568 1.7673339
664997 303371548 1.6276855 -1.964599
417305 190374547 -1.313720 -0.501220
225835 103025749 1.4074707 -0.482421
68628 31308047 -0.918212 2.2436523
868182 396064684 -2.063964 1.4692382
154727 70586288 0.8208007 1.6672363
984815 449272543 -0.779785 -0.623291
1217973 555638940 0.0449371 1.0747070
99768 45514237 2.0644531 1.4321289
755757 344776545 0.5778808 2.3071289
496696 226592700 -1.613281 2.4770507
420081 191640526 -0.245483 0.6517333
933158 425706642 -0.372375 -1.771240
1240618 565969825 2.1606445 -2.043945
956014 436133701 0.3951416 -2.770996
910803 415508294 1.2360839 0.2465820
717896 327504011 0.8522949 2.8754882
1234204 563043887 -0.945312 -1.716552
1260453 575018502 1.1916503 -2.535156
727543 331905052 1.3957519 -0.503662
444855 202942902 1.3278808 2.3227539
146443 66807291 -0.172058 -1.898437
97568 44510789 1.9077148 0.1747741
1158193 528367776 -0.927001 1.0593261
1219611 556386570 0.6646728 0.8684082
863095 393744039 1.8850097 -0.881835
83163 37939073 -0.942626 -0.836914
1232061 562065853 -1.908203 -1.008300
707364 322699432 -1.787597 -1.303466
387211 176645634 1.4418945 -0.586059
866437 395268644 0.8984375 -2.938476
868119 396036143 1.4155273 1.1225585
384157 175252602 -0.614990 -0.727539
176819 80664746 0.2212219 1.8657226
1264492 576860935 0.7796630 -2.520507
248803 113503856 0.0769500 3.0400390
99758 45509499 -2.414062 -0.025421
308863 140903221 0.0282897 -2.297363
751587 342874053 -1.091308 -2.109375
480573 219237048 0.5150146 2.1464843
182873 83426404 -0.966430 0.2226867
299924 136825261 -1.294677 2.0458984
426144 194406966 -0.197906 2.59375
517458 236064272 -1.747070 1.2006835
624907 285082412 -1.343505 0.1958923
144131 65752203 -0.850830 -1.408691
1339286 610982038 -1.392333 -0.605468
1363206 621894547 1.6298828 2.2407226
983055 448469812 1.3625488 -2.859863
1365809 623082139 0.4243774 2.0834960
838916 382713677 1.1247558 2.4750976
858783 391776793 -0.898193 1.0593261
910838 415524194 -0.268371 -2.674804
1033002 471255386 0.4814453 2.8779296
1308234 596816304 2.0356445 -0.279479
1310334 597774541 0.4012451 2.8115234
1219547 556357414 -0.373779 2.9296875
1118019 510040451 -0.545410 0.6618652
1110808 506750552 0.7263183 0.2249755
546744 249424415 1.2092285 2.6938476
367562 167681743 -2.384277 2.2846679
214484 97847307 1.0388183 -2.182128
624505 284899356 0.0911560 -3.007324
163592 74630742 1.4116210 -1.086914
261717 119395159 2.2534179 2.5659179
415254 189439027 1.8693847 0.8308105
1136564 518500321 -0.355346 0.7667236
1139369 519780214 -0.685791 -1.029541
1041418 475095160 -0.250610 -2.399414
645376 294420719 -0.134857 1.2021484
748938 341665458 1.6469726 -0.745727
446554 203717876 2.2719726 -2.684570
607376 277085132 -1.734863 3.0146484
852307 388822324 0.6123046 -0.496643
1315667 600207314 1.3388671 1.7666015
1018724 464741752 1.7531738 -0.867309
883445 403027702 -0.890014 1.4597168
532157 242770051 0.6456298 0.7017822
1201058 547922843 2.5102539 1.6384277
887707 404972216 -0.337341 -2.269042
1049617 478835138 -0.975585 2.7050781
185309 84538291 0.8370361 -0.961669
502437 229211978 -0.855346 -0.570678
1322165 603171585 -0.887817 -0.096862
237659 108420370 0.7432861 -2.719726
595534 271682701 -0.747924 -1.690429
1070837 488516105 0.6557617 -2.942871
1286151 586741948 -1.903564 -2.766601
432478 197296557 1.4111328 -2.495605
709886 323850049 2.3764648 1.9682617
1070117 488187187 1.2690429 -1.351562
205901 93932075 1.7236328 2.2690429
535041 244085571 0.0456161 1.2421875
514323 234633909 -1.067626 -2.697753
44938 20500885 -1.058593 -0.605590
182274 83153416 -2.029785 2.8706054
114069 52038388 -2.054199 1.4570312
1041871 475301464 0.2952880 1.1906738
173835 79303350 -0.694824 -1.530517
673454 307229797 2.0795898 0.8707275
202207 92247056 -0.708618 -1.03125
570699 260353121 -0.651977 -1.818359
635234 289793879 0.3109130 -0.525756
945804 431475498 -0.537597 0.6677246
891894 406881775 0.8387451 2.8657226
1294088 590363249 -0.703613 2.3105468
982995 448442530 -2.143554 -1.809082
1220638 556855083 0.1472473 3.0366210
1080031 492709880 2.1611328 0.6097412
953962 435197225 1.7414550 2.5
1048874 478496413 1.0522460 0.4539184
1244394 567692582 -1.008300 -0.814697
370946 169225664 -1.913818 -0.707885
1005694 458797571 2.2280273 0.7824707
776243 354122163 -0.159271 -1.771484
770003 351275092 2.3442382 0.3562622
1320509 602416429 0.2386779 -1.160156
1028352 469134233 1.3959960 -0.710083
544123 248228594 2.3139648 -0.46875
1359945 620406686 0.9246826 -2.940429
583645 266258594 -0.183074 0.7943115
752235 343169415 -1.216308 -2.605957
605129 276060081 2.1396484 -0.255310
1230105 561173867 -0.288146 0.7442626
1179153 537929700 0.4271850 2.9340820
1099413 501551925 0.2697143 1.4028320
666622 304112722 1.1967773 -1.762939
452693 206518432 0.4747924 2.9838867
39195 17880553 0.0065670 1.84375
1335214 609124537 -1.871826 -0.581054
1211181 552540617 -2.455566 0.9139404
480586 219243186 -0.049293 2.9145507
